name,accession_lat,accession_lng,terraclimate_lat,terraclimate_lng,spring_soil_moisture,fall_soil_moisture
ISU_154,42.83106,-112.45399,42.8125,-112.4375,0.17383148,0.05555555
ISU_155,43.946,-112.27208,43.9375,-112.2708,0.065655775,0.03874269
ISU_156,42.65299,-112.39641,42.6458,-112.3958,0.21822731,0.06652046
ISU_157,42.65556,-112.39456,42.6458,-112.3958,0.21822731,0.06652046
ISU_158,42.67848,-112.40437,42.6875,-112.3958,0.21213068,0.06481481
ISU_159,42.66903,-112.38107,42.6875,-112.3958,0.21213068,0.06481481
ISU_160,42.69768,-112.45171,42.6875,-112.4375,0.1960294,0.059210528
ISU_161,42.69785,-112.44846,42.6875,-112.4375,0.1960294,0.059210528
ISU_162,42.88863,-112.20738,42.8958,-112.1875,0.30639362,0.09795321
ISU_163,42.88717,-112.20909,42.8958,-112.2292,0.25949663,0.08333333
ISU_164,42.83208,-112.4533,42.8125,-112.4375,0.17383148,0.05555555
ISU_165,42.65189,-111.10604,42.6458,-111.1042,0.45677662,0.19639374
ISU_167,42.66179,-112.37564,42.6458,-112.3958,0.21822731,0.06652046
ISU_168,42.69656,-112.2011,42.6875,-112.1875,0.25558856,0.084551655
ISU_169,42.66447,-112.37709,42.6458,-112.3958,0.21822731,0.06652046
ISU_170,42.81985,-112.40071,42.8125,-112.3958,0.15882446,0.05604288
ISU_171,42.79289,-112.43244,42.8125,-112.4375,0.17383148,0.05555555
ISU_172,42.83104,-112.45404,42.8125,-112.4375,0.17383148,0.05555555
ISU_173,42.44578,-71.081603,42.4375,-71.0625,0.39862436,0.4215399
ISU_174,41.6753,-72.218189,41.6875,-72.2292,0.48210096,0.62475634
ISU_175,42.481703,-71.436823,42.4792,-71.4375,0.40612787,0.49756333
ISU_177,41.626019,-71.465332,41.6458,-71.4792,0.42207283,0.4807505
ISU_178,41.712539,-72.208339,41.7292,-72.2292,0.47178364,0.6018519
ISU_179,41.760439,-72.186677,41.7708,-72.1875,0.46177894,0.5886939
ISU_180,41.818006,-72.241601,41.8125,-72.2292,0.45396277,0.60428846
ISU_181,41.718568,-72.219464,41.7292,-72.2292,0.47178364,0.6018519
ISU_182,41.7405,-72.158327,41.7292,-72.1458,0.47162735,0.60599416
ISU_183,41.982639,-72.485989,41.9792,-72.4792,0.4270752,0.54678357
ISU_185,41.810313,-72.297069,41.8125,-72.3125,0.45396277,0.6001462
ISU_186,42.362882,-71.258511,42.3542,-71.2708,0.40128186,0.4502924
ISU_188,40.546583,-89.040122,40.5625,-89.0208,0.5191496,0.45687133
ISU_189,40.605392,-88.900431,40.6042,-88.8958,0.48991713,0.4237329
ISU_190,40.636319,-89.058908,40.6458,-89.0625,0.5066437,0.4502924
ISU_191,41.553779,-89.050903,41.5625,-89.0625,0.37376893,0.39595518
ISU_193,39.746159,-89.961636,39.7292,-89.9792,0.6029389,0.53216374
ISU_195,39.772658,-93.269244,39.7708,-93.2708,0.4226981,0.43128654
ISU_198,39.711849,-96.845428,39.7292,-96.8542,0.13334376,0.17324561
ISU_199,40.127285,-96.746957,40.1458,-96.7292,0.20337659,0.26047757
ISU_200,40.828838,-97.898138,40.8125,-97.8958,0.24761607,0.18689084
ISU_201,40.74240938,-98.7736301,40.7292,-98.7708,0.1632015,0.13645224
ISU_202,41.06120247,-100.1770255,41.0625,-100.1875,0.06987651,0.052875243
